Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,516.338,658.3241,0.0001,0.0002,4.579781854260965e-06
2,68.2534,101.0296,0.0004,0.001,6.324809741754323e-06
3,31.2931,26.1201,0.0383,0.0848,9.19587413814961e-06
4,25.4845,16.0584,0.2943,0.5756,1.3121030075766393e-05
5,22.6904,13.3401,0.3922,0.7727,1.8003616926954628e-05
6,21.1153,12.0791,0.4145,0.8222,2.372339643440878e-05
7,20.2496,11.662,0.4288,0.8539,3.0139513690451982e-05
8,19.809,11.1416,0.4472,0.8824,3.709396582057375e-05
9,19.4504,11.0967,0.4505,0.8843,4.441549295165227e-05
10,19.2089,10.9452,0.4604,0.8978,5.192379564613795e-05
11,18.9934,11.1063,0.4611,0.8989,5.9433974943946164e-05
12,18.8192,11.0286,0.4583,0.8913,6.676108567188433e-05
13,18.6685,11.0998,0.4538,0.889,7.372469089111996e-05
14,18.5518,11.1198,0.4563,0.8904,8.01533053251708e-05
15,18.4648,11.1285,0.4558,0.8864,8.588861834485639e-05
16,18.3985,11.2949,0.4436,0.8676,9.078939251526637e-05
17,18.3079,11.2738,0.4182,0.814,9.47349416993882e-05
18,18.24,11.2866,0.3864,0.7415,9.762810306684711e-05
19,18.1286,11.3591,0.3307,0.6312,9.939636233527605e-05
