Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1347.3914,2041.0695,0.0,0.0,6.349783026554217e-06
2,64.7849,128.7527,0.0018,0.0048,1.3169070428221762e-05
3,24.6734,20.6931,0.2576,0.4859,2.3790201963767935e-05
4,20.9607,12.9021,0.4376,0.8485,3.717328785798329e-05
5,19.7241,11.5008,0.4404,0.8695,5.200802194098682e-05
6,19.2467,10.9861,0.4512,0.8827,6.684197061479156e-05
7,18.9331,10.8744,0.4536,0.8923,8.022277717896075e-05
8,18.6439,10.753,0.4607,0.9027,9.084035862740728e-05
9,18.4227,10.7978,0.4564,0.9021,9.765517276552212e-05
10,18.2194,10.9057,0.4469,0.888,9.999999982547312e-05
11,18.0297,11.1101,0.4448,0.8787,9.984553935588626e-05
12,17.9046,11.218,0.4218,0.8229,9.938376579391306e-05
13,17.7507,11.3405,0.3256,0.6258,9.861752612711835e-05
14,17.6155,11.4712,0.1819,0.3391,9.755154447784847e-05
