Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1396.1302,2418.8274,0.0,0.0001,6.349783026554217e-06
2,58.7809,151.8945,0.0048,0.0116,1.3169070428221762e-05
3,24.1646,22.7862,0.206,0.3992,2.3790201963767935e-05
4,20.8174,12.7398,0.4305,0.8375,3.717328785798329e-05
5,19.6721,11.4343,0.4409,0.8704,5.200802194098682e-05
6,19.1979,10.9326,0.4568,0.8915,6.684197061479156e-05
7,18.9456,10.8365,0.4593,0.8942,8.022277717896075e-05
8,18.6559,10.8823,0.4501,0.891,9.084035862740728e-05
9,18.4462,10.9854,0.4425,0.8794,9.765517276552212e-05
10,18.2587,11.119,0.4398,0.8639,9.999999982547312e-05
11,18.1019,11.1965,0.3589,0.7046,9.984553935588626e-05
12,17.9364,11.281,0.263,0.5086,9.938376579391306e-05
13,17.7724,11.4621,0.1647,0.3139,9.861752612711835e-05
