Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,4612.9965,4882.9628,0.0001,0.0002,1.5648678669035988e-06
2,1072.6159,3030.9396,0.0,0.0,4.200868689674651e-06
3,77.3158,82.0189,0.0059,0.0144,7.80150455414003e-06
4,28.4192,19.0213,0.1301,0.2604,1.140173716973215e-05
5,23.704,13.8449,0.372,0.7279,1.4036636324183474e-05
6,21.283,12.005,0.4186,0.8345,1.4999999959073496e-05
7,20.1155,11.3384,0.4305,0.8556,1.4935734407205988e-05
8,19.5169,11.1096,0.4273,0.8445,1.4744241891364447e-05
9,19.1458,11.0363,0.3644,0.729,1.442879890158668e-05
10,18.8725,10.9119,0.4428,0.874,1.3994802754885098e-05
11,18.6523,10.8935,0.4385,0.8669,1.3449679245656238e-05
12,18.4695,10.9265,0.4322,0.8569,1.2802755588279788e-05
13,18.3118,10.9933,0.4302,0.8508,1.2065100825894589e-05
14,18.1454,11.0193,0.4203,0.8356,1.1249336436001581e-05
15,17.9454,11.1936,0.4192,0.8404,1.0369420373484459e-05
16,17.7519,11.2559,0.4071,0.8195,9.44040824613171e-06
17,17.5354,11.377,0.3841,0.7715,8.478195709013161e-06
18,17.3005,11.4497,0.3949,0.8033,7.4992464854146295e-06
19,17.05,11.487,0.3877,0.783,6.5203106679678824e-06
20,16.7762,11.5849,0.3786,0.7644,5.558138119921721e-06
21,16.5355,11.6794,0.361,0.7328,4.629191880337845e-06
