qEpoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,2696.4134,3385.1452,0.0,0.0001,4.172980978409601e-06
2,157.101,144.6836,0.0,0.0001,1.120231650579907e-05
3,26.6704,18.9605,0.1581,0.314,2.0804012144373417e-05
4,21.7104,12.5842,0.4206,0.823,3.040463245261907e-05
5,20.1035,11.3746,0.4412,0.8645,3.74310301978226e-05
6,19.4379,10.9774,0.4562,0.8849,3.9999999890862654e-05
7,19.052,10.8795,0.4604,0.8951,3.982862508588264e-05
8,18.6849,10.9441,0.458,0.8926,3.931797837697186e-05
9,18.4706,10.9588,0.4561,0.8919,3.847679707089781e-05
10,18.2743,11.0349,0.4545,0.8857,3.731947401302693e-05
11,18.0975,11.114,0.4489,0.8828,3.5865811321749966e-05
12,17.9264,11.1884,0.4502,0.8798,3.4140681568746105e-05
13,17.7824,11.2509,0.44,0.862,3.217360220238557e-05
14,17.6373,11.2904,0.435,0.8568,2.999823049600422e-05
15,17.4506,11.3547,0.406,0.7967,2.7651787662625228e-05
16,17.2424,11.421,0.3687,0.724,2.5174421989684563e-05
17,16.9832,11.4873,0.3602,0.7072,2.2608521890701768e-05
18,16.6962,11.5586,0.3296,0.6592,1.999799062777235e-05
19,16.3409,11.682,0.2702,0.5412,1.7387495114581025e-05
20,15.9735,11.745,0.2517,0.5025,1.4821701653124592e-05
21,15.6005,11.786,0.2628,0.5293,1.2344511680900921e-05
22,15.2458,11.8673,0.2277,0.4586,9.998310605141559e-06
23,14.9109,11.8932,0.2404,0.4891,7.82324257674259e-06
24,14.6331,11.9106,0.2209,0.4511,5.856523612712706e-06
