Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,2066.353,2424.1527,0.0,0.0,4.110333829289339e-06
2,103.7195,118.9632,0.0016,0.0041,6.798173458785026e-06
3,29.1424,20.7248,0.1062,0.2111,1.1136079756068608e-05
4,23.514,13.8342,0.3808,0.7518,1.6918378614332556e-05
5,21.0958,12.0481,0.4251,0.8402,2.3870912624111306e-05
6,20.0272,11.2755,0.4416,0.8675,3.166403975892641e-05
7,19.5549,11.063,0.4442,0.8819,3.992826276530001e-05
8,19.2496,10.9192,0.4516,0.8909,4.8271748217425184e-05
9,18.9937,10.8727,0.4556,0.8946,5.629890460169498e-05
10,18.7551,11.0475,0.4534,0.8951,6.362913858427627e-05
11,18.5652,11.0399,0.4533,0.895,6.991490016668203e-05
12,18.427,11.2062,0.4428,0.889,7.48581611504065e-05
13,18.2964,11.2384,0.446,0.8851,7.822454561354913e-05
14,18.2062,11.3151,0.4308,0.8447,7.985444242802697e-05
15,18.0727,11.4502,0.3511,0.6831,7.997852657822678e-05
16,17.9531,11.4294,0.2312,0.4419,7.984763674411022e-05
