Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,LR
1,1586.9053,1745.2252,0.0,0.0,4.591006720806431e-06
2,66.1168,86.3382,0.0046,0.0117,6.349473177224131e-06
3,28.1958,20.191,0.1367,0.2787,9.232096640334104e-06
4,23.7333,14.0399,0.3743,0.7415,1.3167891700125865e-05
5,21.4657,12.3067,0.4111,0.8203,1.805993830109715e-05
6,20.272,11.4951,0.4357,0.8571,2.3787768425761614e-05
7,19.6855,11.3739,0.439,0.8651,3.021033265331452e-05
8,19.3278,10.9651,0.4455,0.8783,3.716947354111857e-05
9,19.1145,10.9162,0.4527,0.8883,4.4493820296018315e-05
10,18.9229,11.032,0.4512,0.8906,5.200300882811114e-05
11,18.7265,11.0208,0.4523,0.8901,5.9512123266969144e-05
12,18.5677,10.928,0.4522,0.887,6.68362495667311e-05
13,18.4265,11.2142,0.4361,0.873,7.379502906626393e-05
14,18.3145,11.3294,0.4291,0.8501,8.02170998716995e-05
15,18.2539,11.3253,0.3837,0.755,8.59443166910584e-05
16,18.146,11.5411,0.2462,0.4667,9.083564520635074e-05
