Epoch,Train_Loss,Val_Loss,mAP_50_95,mAP_50,mAP_75,LR
1,99.4623,32.3002,0.0,0.0001,0.0,1.0000000000000002e-06
2,38.4855,16.0123,0.094,0.2377,0.0451,2.08e-05
3,33.0674,15.6552,0.2053,0.4357,0.1487,4.06e-05
4,29.4946,14.2195,0.2614,0.534,0.2135,6.04e-05
5,27.8592,13.7061,0.2515,0.5057,0.2084,8.02e-05
6,25.896,13.242,0.2844,0.5657,0.2434,0.0001
7,23.8975,12.7463,0.3027,0.5884,0.265,9.998838225191497e-05
8,22.6856,12.4712,0.329,0.6618,0.2763,9.995353446107686e-05
9,21.9321,12.2419,0.3414,0.6638,0.2981,9.98954729851768e-05
10,21.3491,12.3062,0.3433,0.6758,0.2962,9.981422507850166e-05
11,20.853,11.963,0.3428,0.6574,0.3114,9.970982887914082e-05
12,20.4055,12.0055,0.3448,0.6557,0.3178,9.958233339108401e-05
13,20.1227,12.1404,0.3397,0.6442,0.3044,9.943179846121857e-05
14,19.8412,11.8969,0.3546,0.6845,0.3152,9.925829475123717e-05
15,19.5848,12.1509,0.3299,0.6251,0.2975,9.906190370446886e-05
16,19.3705,12.2751,0.2883,0.5521,0.2579,9.884271750764931e-05
17,19.1266,11.9783,0.3395,0.6453,0.3137,9.860083904764794e-05
18,18.8141,12.0839,0.3297,0.6242,0.3022,9.833638186317246e-05
19,18.5621,12.224,0.3143,0.5968,0.2815,9.80494700914733e-05
20,18.3293,11.9581,0.3448,0.668,0.3044,9.774023841007315e-05
21,18.1106,11.9913,0.3621,0.6978,0.3235,9.740883197354873e-05
22,17.8736,11.7244,0.3801,0.7463,0.3311,9.705540634539475e-05
23,17.6531,11.8779,0.3531,0.6903,0.3102,9.668012742500168e-05
24,17.4318,12.0618,0.3345,0.658,0.2874,9.628317136978201e-05
25,17.2524,12.197,0.3272,0.654,0.2823,9.58647245124812e-05
26,17.0289,11.9895,0.3475,0.681,0.3031,9.542498327371238e-05
27,16.8799,11.7928,0.3574,0.7055,0.3053,9.496415406975577e-05
28,16.7054,11.9455,0.3494,0.6869,0.3013,9.448245321566593e-05
29,16.4676,12.0609,0.3232,0.6244,0.2886,9.398010682373281e-05
30,16.3326,12.0046,0.3552,0.7,0.3076,9.345735069734357e-05
31,16.1435,12.0539,0.3223,0.6398,0.2724,9.291443022029567e-05
32,16.0038,12.1388,0.3179,0.6277,0.2702,9.235160024161262e-05
33,15.8514,11.74,0.3472,0.6981,0.2925,9.176912495591695e-05
34,15.6865,12.2552,0.2975,0.5893,0.2501,9.11672777794161e-05
35,15.5607,11.8183,0.341,0.6839,0.2864,9.054634122155989e-05
36,15.3914,11.9959,0.3704,0.7554,0.2945,8.990660675242936e-05
37,15.2632,12.1698,0.3206,0.6402,0.2691,8.924837466591961e-05
38,15.1253,11.8392,0.3702,0.7369,0.3118,8.857195393878063e-05
39,15.0042,11.9364,0.3346,0.6704,0.2778,8.787766208558242e-05
40,14.8274,12.0608,0.3318,0.6722,0.2714,8.716582500967238e-05
