Epoch,Train_Loss,Val_Loss,mAP_50_95_EMA,mAP_50_EMA,mAP_75_EMA,LR
1,237.5455,213.2496,0.0,0.0,0.0,1.0000000000000002e-06
2,37.4179,27.5843,0.0001,0.0007,0.0,2.08e-05
3,30.8909,22.4704,0.0009,0.003,0.0,4.06e-05
4,26.1793,21.9005,0.0054,0.0122,0.0034,6.04e-05
5,24.0923,20.197,0.042,0.0937,0.026,8.02e-05
6,22.6976,17.0806,0.163,0.3567,0.1104,0.0001
7,21.7952,15.1256,0.2563,0.5287,0.2085,9.998838225191497e-05
8,21.2688,13.5819,0.3124,0.6124,0.2736,9.995353446107686e-05
9,20.8286,12.9344,0.3156,0.6091,0.2896,9.98954729851768e-05
10,20.4068,12.3771,0.3418,0.6504,0.317,9.981422507850166e-05
11,20.0095,12.27,0.3379,0.6426,0.3086,9.970982887914082e-05
12,19.7309,12.0034,0.3486,0.6628,0.3234,9.958233339108401e-05
13,19.465,12.2031,0.3249,0.6081,0.3077,9.943179846121857e-05
14,19.2799,11.7957,0.357,0.6671,0.3398,9.925829475123717e-05
15,19.0336,11.998,0.3289,0.6111,0.3102,9.906190370446886e-05
16,18.7434,11.7465,0.3542,0.6624,0.3339,9.884271750764931e-05
17,18.497,11.7605,0.3557,0.6621,0.3355,9.860083904764794e-05
18,18.2805,11.7676,0.356,0.6642,0.3342,9.833638186317246e-05
