Epoch,Train_Loss,Val_Loss,mAP_50_95_EMA,mAP_50_EMA,mAP_75_EMA,LR
1,162.8787,158.6327,0.0,0.0,0.0,1.0000000000000002e-06
2,37.7661,28.4311,0.0,0.0002,0.0,2.08e-05
3,31.2319,21.4598,0.005,0.0145,0.0016,4.06e-05
4,27.0994,20.2565,0.0381,0.0955,0.0212,6.04e-05
5,24.5349,17.0329,0.2263,0.5366,0.1308,8.02e-05
6,23.1437,14.8983,0.3117,0.6917,0.2074,0.0001
7,22.1253,13.1654,0.3653,0.7581,0.2836,9.998838225191497e-05
8,21.4378,12.2395,0.3855,0.7728,0.3232,9.995353446107686e-05
9,20.917,11.9122,0.3967,0.7823,0.3429,9.98954729851768e-05
10,20.538,11.5367,0.4107,0.7907,0.3654,9.981422507850166e-05
11,20.2128,11.4145,0.4115,0.789,0.369,9.970982887914082e-05
12,19.875,11.3913,0.4105,0.7852,0.3695,9.958233339108401e-05
13,19.561,11.31,0.4113,0.7848,0.3733,9.943179846121857e-05
14,19.3467,11.1322,0.4202,0.8049,0.3778,9.925829475123717e-05
15,19.0336,11.1495,0.4229,0.8088,0.3856,9.906190370446886e-05
16,18.7824,10.9427,0.4294,0.8279,0.3863,9.884271750764931e-05
17,18.5684,11.1635,0.4191,0.8043,0.3758,9.860083904764794e-05
18,18.336,11.023,0.4233,0.8109,0.3803,9.833638186317246e-05
19,18.0874,11.0993,0.4178,0.8044,0.3755,9.80494700914733e-05
20,17.8961,11.2351,0.4109,0.7989,0.3617,9.774023841007315e-05
21,17.6889,11.1766,0.4103,0.794,0.3664,9.740883197354873e-05
22,17.4463,11.085,0.4148,0.8055,0.3677,9.705540634539475e-05
23,17.2345,11.1035,0.4136,0.8089,0.3659,9.668012742500168e-05
24,17.0463,11.3543,0.3998,0.7847,0.3487,9.628317136978201e-05
25,16.8261,11.0874,0.4169,0.8225,0.3636,9.58647245124812e-05
26,16.6069,11.1951,0.4125,0.8153,0.3574,9.542498327371238e-05
27,16.5068,11.1127,0.4172,0.824,0.3632,9.496415406975577e-05
28,16.3426,11.1757,0.4138,0.8236,0.3568,9.448245321566593e-05
29,16.1609,11.1295,0.4144,0.8237,0.3556,9.398010682373281e-05
30,15.9938,11.1919,0.4071,0.8081,0.3469,9.345735069734357e-05
31,15.8219,11.245,0.4072,0.809,0.3508,9.291443022029567e-05
32,15.7011,11.1712,0.4141,0.8297,0.3497,9.235160024161262e-05
33,15.562,11.2727,0.4064,0.8169,0.3369,9.176912495591695e-05
34,15.4101,11.2604,0.406,0.8137,0.3391,9.11672777794161e-05
35,15.2577,11.2336,0.4065,0.8175,0.3406,9.054634122155989e-05
36,15.1022,11.2366,0.4077,0.8314,0.3337,8.990660675242936e-05
37,14.9635,11.2502,0.4077,0.8252,0.3359,8.924837466591961e-05
38,14.8389,11.2849,0.4003,0.8236,0.3253,8.857195393878063e-05
39,14.642,11.3689,0.3949,0.8041,0.3226,8.787766208558242e-05
40,14.5345,11.3299,0.4071,0.8372,0.3311,8.716582500967238e-05
41,14.4142,11.3293,0.4037,0.8311,0.3244,8.643677685019497e-05
42,14.252,11.3628,0.4039,0.832,0.3243,8.56908598252455e-05
43,14.121,11.3334,0.4007,0.8222,0.3211,8.492842407123155e-05
44,13.9996,11.3478,0.4037,0.8343,0.3189,8.414982747851763e-05
45,13.938,11.403,0.3981,0.8251,0.3126,8.335543552342996e-05
46,13.7765,11.36,0.4048,0.8421,0.32,8.254562109670045e-05
47,13.6444,11.4162,0.3991,0.8323,0.3148,8.172076432843035e-05
48,13.5489,11.3869,0.4046,0.8462,0.3154,8.08812524096556e-05
49,13.3646,11.4002,0.4077,0.8496,0.3223,8.002747941059789e-05
50,13.3093,11.4469,0.4057,0.8479,0.3138,7.91598460956865e-05
51,13.1165,11.4386,0.4013,0.8394,0.3127,7.827875973543792e-05
52,13.018,11.4653,0.3981,0.8326,0.3056,7.738463391528141e-05
53,12.8859,11.5157,0.3984,0.8367,0.3083,7.647788834142041e-05
54,12.7344,11.4754,0.4022,0.8466,0.3072,7.555894864382075e-05
55,12.5958,11.4663,0.3975,0.8405,0.3051,7.462824617641828e-05
