Epoch,Train_Loss,Val_Loss,mAP_50_95_EMA,mAP_50_EMA,mAP_75_EMA,LR
1,407.2637,355.6813,0.0,0.0,0.0,1.0000000000000002e-06
2,36.671,29.3684,0.0,0.0,0.0,2.08e-05
3,29.4229,23.1941,0.0003,0.001,0.0,4.06e-05
4,25.7977,21.7688,0.0159,0.0368,0.008,6.04e-05
5,23.7169,18.3261,0.0821,0.1846,0.0554,8.02e-05
6,22.4177,16.0731,0.1397,0.2924,0.1058,0.0001
7,21.4977,14.0185,0.2511,0.5012,0.2117,9.998838225191497e-05
8,20.7654,13.2634,0.2936,0.5867,0.2476,9.995353446107686e-05
9,20.2722,12.4444,0.3379,0.6853,0.277,9.98954729851768e-05
10,19.7366,11.8912,0.3746,0.7493,0.3143,9.981422507850166e-05
11,19.2527,11.5505,0.3873,0.7726,0.3257,9.970982887914082e-05
12,18.8128,11.303,0.4125,0.8102,0.3561,9.958233339108401e-05
13,18.3736,11.2117,0.4165,0.8236,0.3574,9.943179846121857e-05
14,17.9578,11.1626,0.4197,0.8357,0.3542,9.925829475123717e-05
15,17.568,11.16,0.4204,0.847,0.349,9.906190370446886e-05
16,17.1057,11.0438,0.4274,0.855,0.3561,9.884271750764931e-05
17,16.6948,11.1729,0.4166,0.8476,0.334,9.860083904764794e-05
18,16.3382,11.1862,0.423,0.8509,0.3486,9.833638186317246e-05
19,16.023,11.4156,0.4136,0.845,0.3316,9.80494700914733e-05
20,15.7288,11.2163,0.4215,0.8598,0.3378,9.774023841007315e-05
21,15.4536,11.219,0.412,0.8519,0.3251,9.740883197354873e-05
22,15.2274,11.2605,0.4118,0.8458,0.3274,9.705540634539475e-05
23,14.8785,11.2295,0.4178,0.8545,0.3346,9.668012742500168e-05
24,14.614,11.2618,0.4147,0.8563,0.3266,9.628317136978201e-05
25,14.3829,11.2653,0.413,0.8554,0.3239,9.58647245124812e-05
26,14.0551,11.3297,0.4087,0.8553,0.3121,9.542498327371238e-05
27,13.7956,11.4089,0.4056,0.8519,0.3087,9.496415406975577e-05
28,13.5213,11.4161,0.4067,0.8519,0.3107,9.448245321566593e-05
29,13.2939,11.4541,0.4096,0.8571,0.3116,9.398010682373281e-05
30,13.0016,11.4346,0.4094,0.8583,0.312,9.345735069734357e-05
31,12.754,11.5083,0.4075,0.8633,0.3055,9.291443022029567e-05
32,12.4822,11.5324,0.406,0.8575,0.3005,9.235160024161262e-05
