Epoch,TrainLoss,ValLoss,mAP_50_95,mAP_50,mAP_75,mAP_Small,mAP_Medium
1,69.6697,0,-1.0000,0.6851,0.2768,0.3223,0.4005
2,22.6230,0,-1.0000,0.8402,0.3705,0.4092,0.4849
3,20.2941,0,-1.0000,0.8740,0.3797,0.4268,0.4940
4,19.6082,0,-1.0000,0.8846,0.3875,0.4374,0.4897
5,19.2557,0,-1.0000,0.8963,0.3854,0.4412,0.4954
6,18.8987,0,-1.0000,0.8800,0.3734,0.4336,0.4837
7,18.5938,0,-1.0000,0.6989,0.3100,0.3379,0.4278
8,18.3831,0,-1.0000,0.3786,0.1624,0.1742,0.2589
9,18.1918,0,-1.0000,0.1966,0.0849,0.0808,0.1753
10,18.0060,0,-1.0000,0.1161,0.0492,0.0454,0.1040
11,17.8511,0,-1.0000,0.0553,0.0262,0.0220,0.0549
12,17.6460,0,-1.0000,0.0682,0.0306,0.0282,0.0657
13,17.4050,0,-1.0000,0.0566,0.0257,0.0232,0.0518
14,17.1728,0,-1.0000,0.0506,0.0232,0.0223,0.0443
15,16.8361,0,-1.0000,0.0649,0.0290,0.0276,0.0581
16,16.4330,0,-1.0000,0.0375,0.0187,0.0164,0.0332
17,16.0061,0,-1.0000,0.0565,0.0257,0.0235,0.0503
18,15.6133,0,-1.0000,0.0503,0.0222,0.0204,0.0483
19,15.3545,0,-1.0000,0.0485,0.0225,0.0190,0.0486
20,15.2225,0,-1.0000,0.0522,0.0226,0.0207,0.0501
