Epoch,TrainLoss,ValLoss,mAP_50_95,mAP_50,mAP_75,mAP_Small,mAP_Medium
1,76.9741,0,-1.0000,0.4779,0.1779,0.2161,0.2807
2,23.0108,0,-1.0000,0.8323,0.3548,0.4038,0.4688
3,20.1466,0,-1.0000,0.8883,0.3753,0.4372,0.4885
4,19.4538,0,-1.0000,0.8909,0.3985,0.4454,0.5011
5,19.1210,0,-1.0000,0.8880,0.4077,0.4479,0.5030
6,18.8565,0,-1.0000,0.8563,0.4054,0.4348,0.4938
7,18.6455,0,-1.0000,0.6746,0.3398,0.3398,0.4406
8,18.4339,0,-1.0000,0.3856,0.2102,0.1956,0.2850
9,18.2292,0,-1.0000,0.2785,0.1419,0.1283,0.2445
10,18.0353,0,-1.0000,0.1311,0.0788,0.0581,0.1371
11,17.8291,0,-1.0000,0.1089,0.0646,0.0508,0.1080
12,17.5979,0,-1.0000,0.0799,0.0474,0.0385,0.0786
13,17.3383,0,-1.0000,0.0751,0.0398,0.0343,0.0710
14,16.9964,0,-1.0000,0.0645,0.0306,0.0276,0.0588
15,16.5267,0,-1.0000,0.0379,0.0212,0.0166,0.0364
16,15.9475,0,-1.0000,0.0152,0.0088,0.0079,0.0134
17,15.3495,0,-1.0000,0.0229,0.0121,0.0101,0.0201
18,14.8646,0,-1.0000,0.0274,0.0140,0.0120,0.0265
19,14.5355,0,-1.0000,0.0340,0.0163,0.0149,0.0297
20,14.3804,0,-1.0000,0.0347,0.0168,0.0149,0.0311
1,133.5502,0,0.0446,0.0962,0.0337,0.0427,0.0608
2,26.5059,0,0.4002,0.7902,0.3439,0.3856,0.4629
3,20.8372,0,0.4460,0.8778,0.3863,0.4355,0.4929
4,19.7421,0,0.4616,0.8939,0.4144,0.4511,0.5051
5,19.2386,0,0.4709,0.9068,0.4202,0.4609,0.5093
6,18.8931,0,0.4663,0.9033,0.4143,0.4561,0.5065
7,18.6123,0,0.4668,0.9065,0.4167,0.4574,0.5056
8,18.3785,0,0.4671,0.9073,0.4161,0.4570,0.5076
9,18.1738,0,0.4627,0.9026,0.4146,0.4528,0.5010
10,17.9724,0,0.4535,0.8888,0.3996,0.4431,0.4963
11,17.7627,0,0.4462,0.8780,0.3896,0.4338,0.4958
12,17.5089,0,0.4299,0.8499,0.3722,0.4163,0.4868
13,17.2466,0,0.4086,0.8041,0.3567,0.3955,0.4699
14,16.8809,0,0.3910,0.7715,0.3421,0.3747,0.4584
15,16.3726,0,0.3525,0.7024,0.3042,0.3373,0.4179
16,15.8146,0,0.3609,0.7195,0.3103,0.3438,0.4315
17,15.3112,0,0.3310,0.6675,0.2746,0.3155,0.3961
18,14.8773,0,0.3185,0.6427,0.2665,0.3024,0.3879
19,14.6029,0,0.3214,0.6519,0.2655,0.3044,0.3936
20,14.4799,0,0.3249,0.6565,0.2685,0.3082,0.3961
